City,Pop1,Pop2,Pop3,U1,U2,U3
Huber Heights city,"38,101","38,101","38,148","38,278",,,
Hudson city,"22,262","22,262","22,249","22,182",,,
Hunting Valley village,705,705,704,700,,,
Huntsville village,431,431,431,430,,,
Huron city,"7,149","7,149","7,144","7,118",,,
Independence city,"7,133","7,125","7,113","7,070",,,
Irondale village,387,387,387,382,,,
Ironton city,"11,129","11,129","11,125","11,135",,,
Ithaca village,136,136,136,136,,,
Jackson city,"6,397","6,397","6,404","6,390",,,
Jacksonburg village,63,63,63,63,,,
Jackson Center village,"1,462","1,462","1,460","1,460",,,
Jacksonville village,481,481,481,480,,,
Jamestown village,"1,993","1,993","1,994","2,008",,,
Jefferson village,"3,120","3,120","3,119","3,115",,,
Jeffersonville village,"1,203","1,203","1,204","1,202",,,
Jenera village,221,221,221,221,,,
Jeromesville village,562,561,561,562,,,
Jerry City village,427,427,427,429,,,
Jerusalem village,161,161,161,160,,,
Jewett village,692,692,691,692,,,
Johnstown village,"4,632","4,632","4,639","4,653",,,
Junction City village,819,819,819,824,,,
Kalida village,"1,542","1,542","1,541","1,532",,,
Kelleys Island village,312,312,312,310,,,
Kent city,"28,904","28,904","28,899","28,935",,,
Kenton city,"8,262","8,262","8,271","8,252",,,
Kettering city,"56,163","56,163","56,233","56,427",,,
Kettlersville village,179,179,179,178,,,
Killbuck village,817,817,818,824,,,
Kingston village,"1,032","1,032","1,034","1,034",,,
Kipton village,243,243,243,244,,,
Kirby village,118,118,118,118,,,
Kirkersville village,525,525,525,526,,,
Kirtland city,"6,866","6,866","6,867","6,860",,,
Kirtland Hills village,646,646,646,646,,,
Lafayette village,445,445,445,445,,,
LaGrange village,"2,103","2,103","2,104","2,104",,,
Lakeline village,226,226,226,225,,,
Lakemore village,"3,068","3,068","3,066","3,056",,,
Lakeview village,"1,072","1,072","1,071","1,067",,,
Lakewood city,"52,131","52,131","52,042","51,724",,,
Lancaster city,"38,780","38,785","38,844","39,026",,,
La Rue village,747,747,747,743,,,
Latty village,193,193,193,192,,,
Laura village,474,474,473,475,,,
Laurelville village,527,527,528,526,,,
Lebanon city,"20,033","20,033","20,086","20,242",,,
Leesburg village,"1,314","1,317","1,316","1,313",,,
Leesville village,158,158,158,157,,,
Leetonia village,"1,959","1,959","1,960","1,955",,,
Leipsic village,"2,093","2,093","2,091","2,081",,,
Lewisburg village,"1,820","1,820","1,817","1,813",,,
Lewisville village,176,176,175,175,,,
Lexington village,"4,822","4,822","4,814","4,784",,,
Liberty Center village,"1,180","1,180","1,180","1,174",,,
Lima city,"38,771","38,773","38,741","38,693",,,
Limaville village,151,151,151,151,,,
Lincoln Heights village,"3,286","3,286","3,285","3,279",,,
Lindsey village,446,446,446,445,,,
Linndale village,179,179,179,178,,,
Lisbon village,"2,821","2,821","2,822","2,815",,,
Lithopolis village,"1,106","1,106","1,108","1,112",,,
Lockbourne village,237,237,237,239,,,
Lockington village,141,141,141,141,,,
Lockland village,"3,449","3,449","3,448","3,441",,,
Lodi village,"2,746","2,746","2,749","2,760",,,
Logan city,"7,152","7,152","7,152","7,155",,,
London city,"9,904","9,904","9,907","9,896",,,
Lorain city,"64,097","64,097","64,135","64,152",,,
Lordstown village,"3,417","3,417","3,411","3,400",,,
Lore City village,325,325,325,325,,,
Loudonville village,"2,641","2,641","2,643","2,641",,,
Louisville city,"9,186","9,186","9,183","9,174",,,
Loveland city,"12,081","12,081","12,083","12,082",,,
Lowell village,549,549,549,549,,,
Lowellville village,"1,155","1,155","1,153","1,148",,,
Lower Salem village,86,86,86,86,,,
Lucas village,615,615,614,609,,,
Luckey village,"1,012","1,012","1,012","1,019",,,
Ludlow Falls village,208,208,208,207,,,
Lynchburg village,"1,499","1,499","1,501","1,494",,,
Lyndhurst city,"14,001","14,001","13,978","13,893",,,
Lyons village,562,562,561,559,,,
McArthur village,"1,701","1,701","1,700","1,691",,,
McClure village,725,725,725,722,,,
McComb village,"1,648","1,648","1,646","1,655",,,
McConnelsville village,"1,784","1,784","1,783","1,781",,,
McDonald village,"3,263","3,263","3,257","3,246",,,
Macedonia city,"11,188","11,188","11,182","11,147",,,
McGuffey village,501,501,502,502,,,
Macksburg village,186,186,186,186,,,
Madeira city,"8,726","8,726","8,721","8,705",,,
Madison village,"3,184","3,184","3,185","3,182",,,
Magnetic Springs village,268,268,268,270,,,
Magnolia village,978,978,978,976,,,
Maineville village,975,975,977,986,,,
Malinta village,265,265,265,263,,,
Malta village,671,671,671,669,,,
Malvern village,"1,189","1,189","1,187","1,187",,,
Manchester village,"2,023","2,023","2,024","2,016",,,
Mansfield city,"47,821","47,821","47,747","47,483",,,
Mantua village,"1,043","1,043","1,042","1,045",,,
Maple Heights city,"23,138","23,138","23,100","22,959",,,
Marble Cliff village,573,573,574,580,,,
Marblehead village,903,903,903,902,,,
Marengo village,342,342,341,342,,,
Mariemont village,"3,403","3,403","3,402","3,393",,,
Marietta city,"14,085","14,085","14,072","14,080",,,
Marion city,"36,837","36,837","36,823","36,689",,,
Marseilles village,112,112,112,113,,,
Marshallville village,756,756,756,756,,,
Martinsburg village,237,237,237,239,,,
Martins Ferry city,"6,915","6,915","6,911","6,890",,,
Martinsville village,463,463,462,462,,,
Marysville city,"22,094","22,098","22,127","22,288",,,
Mason city,"30,712","30,712","30,797","31,039",,,
Massillon city,"32,149","32,149","32,132","32,106",,,
Matamoras village,896,896,895,895,,,
Maumee city,"14,286","14,286","14,278","14,227",,,
Mayfield village,"3,460","3,460","3,453","3,434",,,
Mayfield Heights city,"19,155","19,155","19,123","19,005",,,
Mechanicsburg village,"1,644","1,644","1,641","1,632",,,
Medina city,"26,678","26,678","26,715","26,822",,,
Melrose village,275,275,275,273,,,
Mendon village,662,662,661,662,,,
Mentor city,"47,159","47,159","47,163","47,126",,,
Mentor-on-the-Lake city,"7,443","7,443","7,443","7,439",,,
Metamora village,627,627,626,624,,,
Meyers Lake village,569,569,569,568,,,
Miamisburg city,"20,181","20,181","20,206","20,274",,,
Middleburg Heights city,"15,946","15,946","15,920","15,825",,,
Middlefield village,"2,694","2,694","2,694","2,690",,,
Middle Point village,576,576,575,572,,,
Middleport village,"2,530","2,530","2,527","2,519",,,
Middletown city,"48,694","48,694","48,792","48,962",,,
Midland village,315,315,314,315,,,
Midvale village,754,754,754,752,,,
Midway village,322,322,322,321,,,
Mifflin village,137,137,137,137,,,
Milan village,"1,367","1,367","1,366","1,363",,,
Milford city,"6,709","6,709","6,722","6,768",,,
Milford Center village,792,792,792,800,,,
Millbury village,"1,200","1,200","1,200","1,210",,,
Milledgeville village,112,114,114,114,,,
Miller City village,137,137,137,136,,,
Millersburg village,"3,025","3,025","3,031","3,052",,,
Millersport village,"1,044","1,044","1,046","1,050",,,
Millville village,708,708,708,710,,,
Milton Center village,144,144,144,145,,,
Miltonsburg village,43,43,43,43,,,
Mineral City village,727,727,727,725,,,
Minerva village,"3,720","3,720","3,718","3,715",,,
Minerva Park village,"1,272","1,272","1,276","1,288",,,
Mingo Junction village,"3,454","3,454","3,448","3,409",,,
Minster village,"2,805","2,806","2,806","2,798",,,
Mogadore village,"3,853","3,853","3,850","3,843",,,
Monroe city,"12,442","12,442","12,466","12,509",,,
Monroeville village,"1,400","1,400","1,399","1,397",,,
Montezuma village,165,165,165,166,,,
Montgomery city,"10,251","10,251","10,246","10,225",,,
Montpelier village,"4,072","4,072","4,061","4,067",,,
Moraine city,"6,307","6,307","6,314","6,336",,,
Moreland Hills village,"3,320","3,320","3,315","3,294",,,
Morral village,399,399,399,398,,,
Morristown village,303,304,304,303,,,
Morrow village,"1,188","1,188","1,190","1,200",,,
Moscow village,185,185,185,187,,,
Mount Blanchard village,492,492,492,495,,,
Mount Cory village,204,204,204,204,,,
Mount Eaton village,241,241,241,241,,,
Mount Gilead village,"3,660","3,660","3,659","3,662",,,
Mount Healthy city,"6,098","6,098","6,094","6,084",,,
Mount Orab village,"3,664","3,669","3,669","3,655",,,
Mount Pleasant village,478,478,478,472,,,
Mount Sterling village,"1,782","1,782","1,783","1,781",,,
Mount Vernon city,"16,990","16,990","17,016","17,087",,,
Mount Victory village,627,627,628,626,,,
Mowrystown village,360,360,360,358,,,
Munroe Falls city,"5,012","5,012","5,011","4,994",,,
Murray City village,449,449,448,450,,,
Mutual village,104,104,104,103,,,
Napoleon city,"8,749","8,749","8,738","8,702",,,
Nashville village,197,197,197,197,,,
Navarre village,"1,957","1,957","1,956","1,954",,,
Nellie village,131,131,131,131,,,
Nelsonville city,"5,392","5,392","5,394","5,393",,,
Nevada village,760,760,760,763,,,
Neville village,100,100,100,100,,,
New Albany village,"7,724","7,729","7,745","7,834",,,
New Alexandria village,272,272,272,268,,,
Newark city,"47,573","47,573","47,640","47,790",,,
New Athens village,320,318,318,317,,,
New Bavaria village,99,99,99,99,,,
New Bloomington village,515,515,515,511,,,
New Boston village,"2,272","2,272","2,273","2,266",,,
New Bremen village,"2,978","2,978","2,979","2,970",,,
Newburgh Heights village,"2,167","2,167","2,164","2,149",,,
New Carlisle city,"5,785","5,785","5,779","5,759",,,
Newcomerstown village,"3,822","3,822","3,822","3,820",,,
New Concord village,"2,491","2,491","2,492","2,494",,,
New Franklin city,"14,227","14,227","14,219","14,175",,,
New Holland village,801,801,802,805,,,
New Knoxville village,879,879,879,877,,,
New Lebanon village,"3,995","3,995","4,001","4,013",,,
New Lexington village,"4,731","4,758","4,763","4,791",,,
New London village,"2,461","2,461","2,460","2,455",,,
New Madison village,892,892,892,888,,,
New Miami village,"2,249","2,249","2,254","2,261",,,
New Middletown village,"1,621","1,621","1,617","1,610",,,
New Paris village,"1,629","1,629","1,627","1,623",,,
New Philadelphia city,"17,288","17,288","17,287","17,273",,,
New Richmond village,"2,582","2,582","2,586","2,605",,,
New Riegel village,249,249,249,248,,,
New Straitsville village,722,722,722,726,,,
Newton Falls city,"4,795","4,795","4,787","4,770",,,
Newtonsville village,392,392,392,396,,,
Newtown village,"2,672","2,672","2,671","2,665",,,
New Vienna village,"1,224","1,224","1,220","1,220",,,
New Washington village,967,967,965,957,,,
New Waterford village,"1,238","1,238","1,239","1,235",,,
New Weston village,136,136,136,136,,,
Ney village,354,354,354,353,,,
Niles city,"19,266","19,266","19,234","19,168",,,
North Baltimore village,"3,432","3,432","3,433","3,456",,,
North Bend village,857,857,857,854,,,
North Canton city,"17,488","17,488","17,480","17,465",,,
North College Hill city,"9,397","9,397","9,391","9,372",,,
North Fairfield village,560,560,560,559,,,
Northfield village,"3,677","3,677","3,674","3,663",,,
North Hampton village,478,478,478,475,,,
North Kingsville village,"2,923","2,923","2,922","2,918",,,
North Lewisburg village,"1,490","1,490","1,488","1,478",,,
North Olmsted city,"32,718","32,718","32,664","32,463",,,
North Perry village,893,893,892,892,,,
